date,kickoff_gmt2,league,home_team,away_team,selection,selection_odds,full_1x2,priority_rank,priority_label,evidence,risk,decision,odds_pass_1_50,score_available,validated_score,required_score,formal_strategy_eligible,formal_approved,formal_stake_cny,formal_blocker,as_of
2026-09-25,20:45,B4,Poland,Bosnia and Herzegovina,Poland主胜,1.571,1.571 / 3.85 / 5.25,1.0,今天第一顺位观察,主场、Elo方向和市场一致；Bosnia确认Dedić与Busuladžić缺阵,Poland三名球员伤退且近三场2负1平；官方首发未公布,观察；等首发和用户平台实际价格后复核,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-25,18:00,B2,Georgia,Northern Ireland,Georgia主胜,1.83,1.83 / 3.35 / 4.20,2.0,今天第二顺位观察,主场；Northern Ireland确认Bradley、McCann、Lyons缺阵,两队排名接近；官方首发未公布；价格已由1.80变为1.83,观察；临近开球复核,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-27,18:00,B3,Austria,Kosovo,Austria主胜,1.513,1.513 / 4.20 / 5.50,3.0,后续第一顺位观察,Austria主场且两队首轮均胜；市场明显偏主队,Austria首轮末段利用对手少一人进两球；Kosovo场面占优赢Ireland；Austria少Alaba、Sabitzer、Laimer,观察；必须等第二轮首发复核,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-26,20:45,A3,Czech Republic,Croatia,Croatia客胜,2.1,3.15 / 3.45 / 2.10,4.0,高赔率高风险观察,Croatia实力与历史交锋方向占优,客场；Croatia后场Juranović与Erlić缺阵；密集赛程；首发未公布,高风险观察；不列为正式推荐,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-25,20:45,C2,Montenegro,Cyprus,Montenegro主胜,1.769,1.769 / 3.50 / 4.30,5.0,次级观察,主场、历史交锋和市场方向一致,两队近五场同为2胜1平2负；主胜由旧截图1.47升至1.769；首发未公布,盘口漂移较大，仅次级观察,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-26,18:00,C4,Bulgaria,Luxembourg,Bulgaria主胜,2.25,2.25 / 3.10 / 3.20,,排除,主场；Elo方向仅小幅支持,主胜由1.98升至2.25；Chochev确认退出；双方首发未公布,排除；价格漂移与伤停构成风险信号,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-25,18:00,C2,Armenia,Latvia,Armenia主胜,1.833,当前仅核验主胜单项,,排除,主场与Elo方向支持,赛前核验确认多人伤缺；首发未公布,排除；阵容风险过高,True,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-25,20:45,A1,Turkey,France,France客胜,1.3125,当前仅核验France单项,,赔率排除,Elo优势明显,客场与新帅首场,排除；低于1.50最低赔率,False,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-25,20:45,B4,Sweden,Romania,Sweden主胜,1.408,当前仅核验Sweden单项,,赔率排除,实力与主场方向支持,多名球员伤退,排除；低于1.50最低赔率,False,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-27,18:00,A4,Denmark,Wales,Denmark主胜,1.455,当前仅核验Denmark单项,,赔率排除,Denmark虽3-2负Norway但进攻端进2球；Wales 0-1负Portugal,第二比赛日轮换与恢复期短,排除；低于1.50最低赔率,False,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-27,18:00,A2,Serbia,Netherlands,Netherlands客胜,1.408,当前仅核验Netherlands单项,,赔率排除,Serbia首轮1-2负Greece；Netherlands 1-1 Germany,Brobbey伤退状态待定；客场,排除；低于1.50最低赔率,False,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
2026-09-27,20:45,A2,Germany,Greece,Germany主胜,1.392,当前仅核验Germany单项,,赔率排除,主场与Elo方向支持,Greece首轮逆转Serbia；Havertz伤退状态待定,排除；低于1.50最低赔率,False,False,,84,False,False,0.0,欧国联无冻结历史验证模型；84分评分器仍不可复现；正式首发未确认；当前排序仅为公开Elo、市场、首轮赛果和伤停的观察优先级,2026-09-25T11:07:00+02:00
